pipeline,sample_id,sequence,frame_number,field_occlusion_label,auto_severity,status,mean_bone_length,left_right_bone_symmetry_error,joint_angle_feasibility
SAM-3DBody,field_all_fb_09190,MansoryBrickLaying_02,3699,severe_detection_failure_temporal_bbox,full,ok,0.28532366761585,0.011882186072907051,1.0
SAM-3DBody,field_all_fb_09513,MansoryBrickLaying_02,4022,severe_detection_failure_temporal_bbox,full,ok,0.2864713766537241,0.009850746918226131,1.0
SAM-3DBody,field_all_fb_09591,MansoryBrickLaying_02,4100,severe_detection_failure_temporal_bbox,full,ok,0.28308106625337837,0.006983789137767124,1.0
SAM-3DBody,field_all_fb_09668,MansoryBrickLaying_02,4177,severe_detection_failure_temporal_bbox,full,ok,0.2873531715019114,0.006142008746280562,1.0
SAM-3DBody,field_all_fb_09941,MansoryBrickLaying_02,4450,severe_detection_failure_temporal_bbox,full,ok,0.2797659858991147,0.009085828588869508,1.0
SAM-3DBody,field_all_fb_10029,MansoryBrickLaying_02,4538,severe_detection_failure_temporal_bbox,full,ok,0.28707227402586377,0.022778410966090536,1.0
SAM-3DBody,field_all_fb_10377,MansoryBrickLaying_02,4886,severe_detection_failure_temporal_bbox,full,ok,0.28768147242219433,0.016368667267477804,1.0
SAM-3DBody,field_all_fb_11153,MansoryBrickLaying_02,5662,severe_detection_failure_temporal_bbox,full,ok,0.2849069669654417,0.00727088827873124,1.0
SAM-3DBody,field_all_fb_11792,MansoryBrickLaying_02,6301,severe_detection_failure_temporal_bbox,full,ok,0.2796158734834613,0.006748606532589578,1.0
SAM-3DBody,field_all_fb_12429,MansoryBrickLaying_02,6938,severe_detection_failure_temporal_bbox,full,ok,0.2856917020453223,0.003022530842738236,1.0
SAM-3DBody,field_all_fb_13179,MansoryCement_02,431,severe_detection_failure_temporal_bbox,full,ok,0.2718668135498328,0.010080916888948301,1.0
SAM-3DBody,field_all_fb_14692,MansoryCement_02,1944,severe_detection_failure_temporal_bbox,full,ok,0.2801746734873267,0.009027584942434918,1.0
SAM-3DBody,field_all_fb_16915,MansoryCement_02,4167,severe_detection_failure_temporal_bbox,full,ok,0.26570056478735826,0.005087666673466849,1.0
SAM-3DBody,field_all_fb_18554,RebarPlacement_00,694,severe_detection_failure_temporal_bbox,full,ok,0.27466698689392616,0.012318629376297519,1.0
SAM-3DBody,field_all_fb_18810,RebarPlacement_00,950,severe_detection_failure_temporal_bbox,full,ok,0.27210194687440753,0.012173587719328346,1.0
SAM-3DBody,field_all_fb_18963,RebarPlacement_00,1103,severe_detection_failure_temporal_bbox,full,ok,0.27132158709321713,0.0068847492024066955,1.0
SAM-3DBody,field_all_fb_19128,RebarPlacement_00,1268,severe_detection_failure_temporal_bbox,full,ok,0.2753627042131512,0.01165800765816731,1.0
SAM-3DBody,field_all_fb_19210,RebarPlacement_00,1350,severe_detection_failure_temporal_bbox,full,ok,0.2737079207487248,0.00592090612325883,1.0
SAM-3DBody,field_all_fb_19547,RebarPlacement_00,1687,severe_detection_failure_temporal_bbox,full,ok,0.2834601172084847,0.014180810697215393,1.0
SAM-3DBody,field_all_fb_20054,RebarPlacement_00,2194,severe_detection_failure_temporal_bbox,full,ok,0.2804789302205766,0.02104967108579302,1.0
SAM-3DBody,field_all_fb_20250,RebarPlacement_00,2390,severe_detection_failure_temporal_bbox,full,ok,0.2788718334161173,0.016988349005436245,1.0
SAM-3DBody,field_all_fb_20330,RebarPlacement_00,2470,severe_detection_failure_temporal_bbox,full,ok,0.27776606268108,0.012528619678551145,1.0
